frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
254,1642922441.52739,95.194327,100.311004,-2.41222,4.197255,-0.044179,-0.89,-3276,45,2,0,4.934704
255,1642922441.56738,95.068165,100.201024,-2.413092,4.211079,-0.090418,-1.61,-3276,45,2,0,5.102073
256,1642922441.56738,95.068165,100.201024,-2.413092,4.211079,-0.090418,-1.61,-3276,45,2,0,5.102073
257,1642922441.62724,94.875772,100.036137,-2.414838,4.217058,-0.077587,-1.54,-3276,45,2,0,5.355456
258,1642922441.62724,94.875772,100.036137,-2.414838,4.217058,-0.077587,-1.54,-3276,45,0,0,5.355456
259,1642922441.68724,94.68605,99.87007,-2.416234,4.186144,-0.077373,-1.21,-3276,45,2,0,5.607592
260,1642922441.70729,94.622519,99.815092,-2.416583,4.17328,-0.056807,-0.78,-3276,45,2,0,5.691609
261,1642922441.70729,94.622519,99.815092,-2.416583,4.17328,-0.056807,-0.78,-3276,45,2,0,5.691609
262,1642922441.74757,94.495514,99.707355,-2.416757,4.162214,-0.017902,-0.16,-3276,45,0,0,5.858155
263,1642922441.74757,94.495514,99.707355,-2.416757,4.162214,-0.017902,-0.16,-3276,45,2,0,5.858155
264,1642922441.78724,94.368509,99.599617,-2.416932,4.173713,-0.039164,-0.24,-3276,45,0,0,6.0247
265,1642922441.82724,94.239734,99.493036,-2.417106,4.171116,-0.047527,-0.28,-3276,45,2,0,6.191861
266,1642922441.82724,94.239734,99.493036,-2.417106,4.171116,-0.047527,-0.28,-3276,45,2,0,6.191861
267,1642922441.86724,94.113629,99.385276,-2.417281,4.144805,-0.038145,-0.23,-3276,45,0,0,6.357737
268,1642922441.86724,94.113629,99.385276,-2.417281,4.144805,-0.038145,-0.23,-3276,45,2,0,6.357737
269,1642922441.90723,93.987524,99.277516,-2.417456,4.134368,-0.058773,-0.35,-3276,45,0,0,6.523612
270,1642922441.90723,93.987524,99.277516,-2.417456,4.134368,-0.058773,-0.35,-3276,45,0,0,6.523612
271,1642922441.96725,93.798787,99.114754,-2.417805,4.172145,-0.056172,-0.34,-3276,45,2,0,6.772837
272,1642922442.00723,93.671754,99.005907,-2.417979,4.193431,-0.044757,-0.23,-3276,45,2,0,6.940125
273,1642922442.02724,93.608251,98.952039,-2.418154,4.181333,-0.03482,-0.1,-3276,45,2,0,7.023398
274,1642922442.04805,93.544749,98.89817,-2.418154,4.162448,-0.019479,0.15,-3276,45,2,0,7.10667
275,1642922442.08723,93.416003,98.792699,-2.417979,4.14429,-0.037466,-0.04,-3276,45,2,0,7.273103
276,1642922442.08723,93.416003,98.792699,-2.417979,4.14429,-0.037466,-0.04,-3276,45,2,0,7.273103
277,1642922442.12731,93.288998,98.684961,-2.418328,4.191794,-0.083669,-0.64,-3276,45,0,0,7.439649
278,1642922442.12731,93.288998,98.684961,-2.418328,4.191794,-0.083669,-0.64,-3276,45,0,0,7.439649
279,1642922442.16732,93.161907,98.573896,-2.419026,4.227287,-0.084581,-1.03,-3276,45,2,0,7.608432
280,1642922442.16732,93.161907,98.573896,-2.419026,4.227287,-0.084581,-1.03,-3276,45,2,0,7.608432
281,1642922442.20733,93.033945,98.463963,-2.41955,4.188908,-0.043268,-0.73,-3276,45,2,0,7.777131
282,1642922442.2473,92.904328,98.359624,-2.419899,4.166371,-0.031248,-0.28,-3276,45,2,0,7.943526
283,1642922442.2473,92.904328,98.359624,-2.419899,4.166371,-0.031248,-0.28,-3276,45,2,0,7.943526
284,1642922442.30724,92.711123,98.198088,-2.419724,4.210211,0.001409,0.26,-3276,45,2,0,8.195363
285,1642922442.30724,92.711123,98.198088,-2.419724,4.210211,0.001409,0.26,-3276,45,2,0,8.195363
286,1642922442.3673,92.518816,98.036529,-2.419899,4.16481,-0.044611,-0.38,-3276,45,0,0,8.446527
287,1642922442.38734,92.455314,97.982661,-2.420074,4.147985,-0.053473,-0.47,-3276,45,2,0,8.5298
288,1642922442.38734,92.455314,97.982661,-2.420074,4.147985,-0.053473,-0.47,-3276,45,2,0,8.5298
289,1642922442.42729,92.329209,97.8749,-2.420423,4.14412,-0.059634,-0.44,-3276,45,2,0,8.695676
290,1642922442.42729,92.329209,97.8749,-2.420423,4.14412,-0.059634,-0.44,-3276,45,2,0,8.695676
291,1642922442.46724,92.200462,97.769429,-2.420772,4.162102,-0.078542,-0.68,-3276,45,0,0,8.862108
292,1642922442.46724,92.200462,97.769429,-2.420772,4.162102,-0.078542,-0.68,-3276,45,2,0,8.862108
293,1642922442.50727,92.074357,97.661668,-2.421121,4.149998,-0.05866,-0.44,-3276,45,2,0,9.027984
294,1642922442.54749,91.947381,97.555041,-2.421295,4.117835,-0.009103,0.2,-3276,45,2,0,9.193792
295,1642922442.54749,91.947381,97.555041,-2.421295,4.117835,-0.009103,0.2,-3276,45,0,0,9.193792
296,1642922442.58727,91.821333,97.449499,-2.420946,4.103138,0.006042,0.6,-3276,45,2,0,9.358191
297,1642922442.58727,91.821333,97.449499,-2.420946,4.103138,0.006042,0.6,-3276,45,2,0,9.358191
298,1642922442.64725,91.6283,97.294621,-2.420248,4.140993,-0.008402,0.39,-3276,45,2,0,9.605677
299,1642922442.64725,91.6283,97.294621,-2.420248,4.140993,-0.008402,0.39,-3276,45,2,0,9.605677
300,1642922442.70723,91.437821,97.134125,-2.420597,4.140695,-0.047383,-0.63,-3276,45,2,0,9.854758
301,1642922442.72915,91.375219,97.080233,-2.420946,4.132982,-0.058249,-0.94,-3276,45,2,0,9.937362
302,1642922442.72915,91.375219,97.080233,-2.420946,4.132982,-0.058249,-0.94,-3276,45,2,0,9.937362
303,1642922442.76741,91.250013,96.972449,-2.421644,4.152801,-0.071648,-1.34,-3276,45,2,0,10.10257
304,1642922442.80729,91.123008,96.864712,-2.422692,4.168715,-0.059345,-1.44,-3276,45,0,0,10.269116
305,1642922442.80729,91.123008,96.864712,-2.422692,4.168715,-0.059345,-1.44,-3276,45,2,0,10.269116
306,1642922442.84745,90.992491,96.760397,-2.423564,4.160126,-0.031932,-1.16,-3276,45,2,0,10.436198
307,1642922442.84745,90.992491,96.760397,-2.423564,4.160126,-0.031932,-1.16,-3276,45,0,0,10.436198
308,1642922442.88735,90.864644,96.654902,-2.424262,4.147083,0.002906,-0.62,-3276,45,0,0,10.601951
309,1642922442.88735,90.864644,96.654902,-2.424262,4.147083,0.002906,-0.62,-3276,45,0,0,10.601951
310,1642922442.92809,90.735898,96.54943,-2.424437,4.158853,0.008465,-0.2,-3276,45,2,0,10.768383
311,1642922442.98723,90.542779,96.391223,-2.424611,4.181312,-0.005849,-0.24,-3276,45,2,0,11.018033
312,1642922442.98723,90.542779,96.391223,-2.424611,4.181312,-0.005849,-0.24,-3276,45,2,0,11.018033
313,1642922443.02756,90.414003,96.284642,-2.425135,4.173836,-0.064934,-1.16,-3276,45,0,0,11.185193
314,1642922443.06732,90.283487,96.180327,-2.426182,4.176119,-0.096406,-1.61,-3276,45,2,0,11.352275
315,1642922443.06732,90.283487,96.180327,-2.426182,4.176119,-0.096406,-1.61,-3276,45,2,0,11.352275
316,1642922443.10733,90.156453,96.07148,-2.427229,4.182768,-0.105513,-1.68,-3276,45,0,0,11.519562
317,1642922443.10733,90.156453,96.07148,-2.427229,4.182768,-0.105513,-1.68,-3276,45,2,0,11.519562
318,1642922443.14769,90.02942,95.962633,-2.428277,4.185433,-0.100877,-1.2,-3276,45,0,0,11.68685
319,1642922443.14769,90.02942,95.962633,-2.428277,4.185433,-0.100877,-1.2,-3276,45,0,0,11.68685
320,1642922443.18728,89.902415,95.854896,-2.428626,4.143963,-0.077354,-0.6,-3276,45,2,0,11.853395
321,1642922443.22724,89.776367,95.749355,-2.428626,4.080922,-0.047257,0.08,-3276,45,2,0,12.017794
322,1642922443.22724,89.776367,95.749355,-2.428626,4.080922,-0.047257,0.08,-3276,45,2,0,12.017794
323,1642922443.28732,89.584233,95.594453,-2.428277,4.157296,-0.068361,0.58,-3276,45,2,0,12.264594
324,1642922443.28732,89.584233,95.594453,-2.428277,4.157296,-0.068361,0.58,-3276,45,2,0,12.264594
325,1642922443.32724,89.455458,95.487872,-2.427404,4.141275,0.017938,1.84,-3276,45,2,0,12.431754
326,1642922443.36724,89.328539,95.383464,-2.425833,4.095966,0.015551,2.05,-3276,45,0,0,12.5961
327,1642922443.36724,89.328539,95.383464,-2.425833,4.095966,0.015551,2.05,-3276,45,2,0,12.5961
328,1642922443.38724,89.265094,95.331814,-2.42531,4.101856,-0.030202,1.54,-3276,45,0,0,12.67791
329,1642922443.38724,89.265094,95.331814,-2.42531,4.101856,-0.030202,1.54,-3276,45,2,0,12.67791
330,1642922443.44724,89.074616,95.171318,-2.42496,4.150379,-0.127088,-0.02,-3276,45,2,0,12.926991
331,1642922443.44724,89.074616,95.171318,-2.42496,4.150379,-0.127088,-0.02,-3276,45,2,0,12.926991
332,1642922443.50729,88.88495,95.00747,-2.424611,4.169173,-0.058883,0.73,-3276,45,2,0,13.177628
333,1642922443.52729,88.822348,94.953578,-2.424262,4.142578,-0.052778,0.87,-3276,45,2,0,13.260232
334,1642922443.52729,88.822348,94.953578,-2.424262,4.142578,-0.052778,0.87,-3276,45,2,0,13.260232
335,1642922443.56732,88.697142,94.845795,-2.423564,4.10179,-0.045714,1.13,-3276,45,0,0,13.425441
336,1642922443.6073,88.570194,94.740277,-2.422517,4.160802,0.024822,2,-3276,45,2,0,13.590515
337,1642922443.6073,88.570194,94.740277,-2.422517,4.160802,0.024822,2,-3276,45,0,0,13.590515
338,1642922443.64723,88.43341,94.637234,-2.420772,4.239888,0.116248,2.7,-3276,45,0,0,13.761769
339,1642922443.64723,88.43341,94.637234,-2.420772,4.239888,0.116248,2.7,-3276,45,2,0,13.761769
340,1642922443.68725,88.301094,94.532965,-2.419026,4.188365,0.085075,2.05,-3276,45,2,0,13.930231
341,1642922443.68725,88.301094,94.532965,-2.419026,4.188365,0.085075,2.05,-3276,45,2,0,13.930231
342,1642922443.72723,88.174989,94.425205,-2.418503,4.132983,-0.084275,-0.06,-3276,45,2,0,14.096107
343,1642922443.78727,87.987094,94.260201,-2.419375,4.19249,-0.098028,-0.86,-3276,45,2,0,14.346169
344,1642922443.78727,87.987094,94.260201,-2.419375,4.19249,-0.098028,-0.86,-3276,45,2,0,14.346169
345,1642922443.82723,87.923591,94.206332,-2.419724,4.1862,-0.053038,-0.5,-3276,45,2,0,14.429442
346,1642922443.86762,87.728701,94.049281,-2.41955,4.124296,0.010428,0.86,-3276,45,2,0,14.679736
347,1642922443.86762,87.728701,94.049281,-2.41955,4.124296,0.010428,0.86,-3276,45,2,0,14.679736
348,1642922443.90723,87.600912,93.946005,-2.418154,4.123049,0.099153,2.25,-3276,45,2,0,14.844041
349,1642922443.90723,87.600912,93.946005,-2.418154,4.123049,0.099153,2.25,-3276,45,0,0,14.844041
350,1642922443.94724,87.471323,93.842776,-2.416583,4.125645,0.116089,2.06,-3276,45,0,0,15.009719
351,1642922443.94724,87.471323,93.842776,-2.416583,4.125645,0.116089,2.06,-3276,45,0,0,15.009719
352,1642922443.98734,87.343505,93.738391,-2.416059,4.121638,0.005146,-0.04,-3276,45,2,0,15.174746
353,1642922444.02762,87.218299,93.630607,-2.417106,4.123801,-0.114775,-2.26,-3276,45,2,0,15.339954
354,1642922444.02762,87.218299,93.630607,-2.417106,4.123801,-0.114775,-2.26,-3276,45,2,0,15.339954
355,1642922444.06723,87.092194,93.522847,-2.419201,4.136697,-0.195801,-3.5,-3276,45,2,0,15.50583
356,1642922444.06723,87.092194,93.522847,-2.419201,4.136697,-0.195801,-3.5,-3276,45,0,0,15.50583
357,1642922444.12732,86.90694,93.355554,-2.421993,4.155901,-0.100941,-1.47,-3276,45,2,0,15.755442
358,1642922444.12732,86.90694,93.355554,-2.421993,4.155901,-0.100941,-1.47,-3276,45,2,0,15.755442
359,1642922444.18741,86.715619,93.1973,-2.421819,4.132365,0.03739,1.15,-3276,45,0,0,16.003732
360,1642922444.2073,86.652145,93.144541,-2.421295,4.133204,0.030994,1.29,-3276,45,2,0,16.086269
361,1642922444.2073,86.652145,93.144541,-2.421295,4.133204,0.030994,1.29,-3276,45,0,0,16.086269
362,1642922444.22724,86.587772,93.091806,-2.420946,4.143568,0.017592,1.14,-3276,45,2,0,16.169485
363,1642922444.28724,86.392911,92.935864,-2.420772,4.149836,-0.060034,-0.47,-3276,45,2,0,16.419063
364,1642922444.28724,86.392911,92.935864,-2.420772,4.149836,-0.060034,-0.47,-3276,45,2,0,16.419063
365,1642922444.32724,86.267676,92.826971,-2.421644,4.151831,-0.129692,-1.8,-3276,45,0,0,16.585019
366,1642922444.36725,86.143312,92.716945,-2.423215,4.161211,-0.15174,-2.26,-3276,45,2,0,16.751067
367,1642922444.36725,86.143312,92.716945,-2.423215,4.161211,-0.15174,-2.26,-3276,45,2,0,16.751067
368,1642922444.40733,86.018049,92.606942,-2.424437,4.157614,-0.113356,-1.55,-3276,45,2,0,16.917775
369,1642922444.40733,86.018049,92.606942,-2.424437,4.157614,-0.113356,-1.55,-3276,45,2,0,16.917775
370,1642922444.44723,85.887532,92.502627,-2.42531,4.163097,-0.067046,-0.63,-3276,45,2,0,17.084856
371,1642922444.44723,85.887532,92.502627,-2.42531,4.163097,-0.067046,-0.63,-3276,45,0,0,17.084856
372,1642922444.48723,85.760556,92.396,-2.42531,4.164562,-0.045884,-0.04,-3276,45,2,0,17.250665
373,1642922444.52733,85.633551,92.288263,-2.42531,4.160959,-0.056975,0.2,-3276,45,2,0,17.417211
374,1642922444.52733,85.633551,92.288263,-2.42531,4.160959,-0.056975,0.2,-3276,45,2,0,17.417211
375,1642922444.58722,85.443044,92.126657,-2.425135,4.15744,-0.07656,-0.17,-3276,45,0,0,17.667029
376,1642922444.58722,85.443044,92.126657,-2.425135,4.15744,-0.07656,-0.17,-3276,45,0,0,17.667029
377,1642922444.6273,85.313427,92.022318,-2.425484,4.157954,-0.121286,-0.75,-3276,45,2,0,17.833424
378,1642922444.66723,85.187292,91.913449,-2.426008,4.159764,-0.096659,-0.44,-3276,45,2,0,18.000045
379,1642922444.66723,85.187292,91.913449,-2.426008,4.159764,-0.096659,-0.44,-3276,45,2,0,18.000045
380,1642922444.70724,85.061187,91.805688,-2.426008,4.150456,-0.037175,0.22,-3276,45,2,0,18.165921
381,1642922444.70724,85.061187,91.805688,-2.426008,4.150456,-0.037175,0.22,-3276,45,0,0,18.165921
382,1642922444.74725,84.93334,91.700194,-2.425484,4.142644,0.025791,0.76,-3276,45,2,0,18.331674
383,1642922444.74725,84.93334,91.700194,-2.425484,4.142644,0.025791,0.76,-3276,45,2,0,18.331674
384,1642922444.78739,84.805493,91.594699,-2.425135,4.151244,0.008214,0.26,-3276,45,2,0,18.497426
385,1642922444.82723,84.676718,91.488118,-2.42531,4.161501,-0.028661,-0.54,-3276,45,2,0,18.664587
386,1642922444.82723,84.676718,91.488118,-2.42531,4.161501,-0.028661,-0.54,-3276,45,2,0,18.664587
387,1642922444.86723,84.545359,91.386045,-2.426008,4.168135,-0.068182,-1.12,-3276,45,0,0,18.830942
388,1642922444.86723,84.545359,91.386045,-2.426008,4.168135,-0.068182,-1.12,-3276,45,2,0,18.830942
