frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
0,1642935345.347300,-47.406365,16.354928,0.631635,4.517456,-0.072610,0.130000,-20.000000,51.000000,2.000000,2.100000,0.179053
1,1642935345.347300,-47.406365,16.354928,0.631635,4.517456,-0.072610,0.130000,-20.000000,51.000000,2.000000,2.100000,0.179053
2,1642935345.407007,-47.179930,16.513380,0.631460,4.637074,-0.104841,-0.290000,-20.000000,51.000000,2.000000,2.100000,0.455421
3,1642935345.407007,-47.179930,16.513380,0.631460,4.637074,-0.104841,-0.290000,-20.000000,51.000000,2.000000,2.100000,0.455421
4,1642935345.466998,-46.951524,16.678442,0.631111,4.754637,-0.123318,-0.220000,-20.000000,54.000000,2.000000,2.100000,0.737228
5,1642935345.487127,-46.874469,16.734179,0.631111,4.803484,-0.103722,0.020000,-20.000000,51.000000,2.000000,2.100000,0.832328
6,1642935345.487127,-46.874469,16.734179,0.631111,4.803484,-0.103722,0.020000,-20.000000,54.000000,2.000000,2.100000,0.832328
7,1642935345.506996,-46.795616,16.789870,0.631286,4.842284,-0.088156,0.380000,-20.000000,51.000000,0.000000,2.100000,0.928864
8,1642935345.506996,-46.795616,16.789870,0.631286,4.842284,-0.088156,0.380000,-20.000000,48.000000,2.000000,2.000000,0.928864
9,1642935345.567004,-46.552703,16.958997,0.632158,4.908616,-0.044079,1.130000,-20.000000,40.000000,0.000000,2.000000,1.224856
10,1642935345.607074,-46.392211,17.073637,0.632682,4.959009,-0.081457,0.470000,-20.000000,40.000000,0.000000,2.000000,1.422086
11,1642935345.607074,-46.392211,17.073637,0.632682,4.959009,-0.081457,0.470000,-19.000000,35.000000,0.000000,1.900000,1.422086
12,1642935345.647015,-46.228964,17.190426,0.633031,5.057199,-0.064752,0.750000,-19.000000,21.000000,2.000000,1.900000,1.622808
13,1642935345.647015,-46.228964,17.190426,0.633031,5.057199,-0.064752,0.750000,-18.000000,21.000000,2.000000,1.800000,1.622808
14,1642935345.687019,-46.063889,17.308278,0.633555,5.070968,-0.028439,0.710000,-18.000000,10.000000,2.000000,1.800000,1.825635
15,1642935345.687019,-46.063889,17.308278,0.633555,5.070968,-0.028439,0.710000,-17.000000,10.000000,2.000000,1.800000,1.825635
16,1642935345.747032,-45.815349,17.486141,0.633380,5.131560,-0.128743,-0.720000,-17.000000,8.000000,2.000000,1.700000,2.131262
17,1642935345.767415,-45.727414,17.544927,0.633031,5.163021,-0.139664,-0.850000,-15.000000,8.000000,2.000000,1.600000,2.237037
18,1642935345.787364,-45.643920,17.606049,0.632682,5.181575,-0.104266,-0.530000,-15.000000,8.000000,0.000000,1.600000,2.340512
19,1642935345.827032,-45.475189,17.726026,0.632682,5.190020,-0.044754,0.220000,-14.000000,8.000000,2.000000,1.600000,2.547550
