frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
0,1642933447.130904,-35.691323,4.431625,0.542274,4.021623,-0.078807,3.440000,-65.000000,51.000000,7.000000,0.500000,0.161109
1,1642933447.130904,-35.691323,4.431625,0.542274,4.021623,-0.078807,3.440000,-62.000000,51.000000,7.000000,0.500000,0.161109
2,1642933447.191113,-35.484755,4.552843,0.545939,4.051646,-0.049496,3.480000,-62.000000,51.000000,7.000000,0.500000,0.400617
3,1642933447.191113,-35.484755,4.552843,0.545939,4.051646,-0.049496,3.480000,-60.000000,51.000000,7.000000,0.400000,0.400617
4,1642933447.250915,-35.274445,4.679516,0.549081,4.108035,-0.096135,2.620000,-60.000000,51.000000,7.000000,0.400000,0.646129
5,1642933447.270911,-35.204033,4.722102,0.549953,4.113370,-0.085811,2.420000,-59.000000,54.000000,7.000000,0.400000,0.728418
6,1642933447.270911,-35.204033,4.722102,0.549953,4.113370,-0.085811,2.420000,-59.000000,51.000000,5.000000,0.300000,0.728418
7,1642933447.310963,-35.063179,4.808384,0.551524,4.120178,-0.109290,1.940000,-59.000000,54.000000,7.000000,0.300000,0.893598
8,1642933447.310963,-35.063179,4.808384,0.551524,4.120178,-0.109290,1.940000,-59.000000,51.000000,7.000000,0.300000,0.893598
9,1642933447.351044,-34.925980,4.892540,0.552571,4.117665,-0.171210,1.350000,-59.000000,43.000000,5.000000,0.200000,1.054551
10,1642933447.390907,-34.785968,4.981064,0.553444,4.132372,-0.139814,1.530000,-59.000000,40.000000,7.000000,0.200000,1.220201
11,1642933447.390907,-34.785968,4.981064,0.553444,4.132372,-0.139814,1.530000,-59.000000,35.000000,5.000000,0.200000,1.220201
12,1642933447.430922,-34.645085,5.068456,0.554491,4.154862,-0.114590,1.540000,-59.000000,35.000000,7.000000,0.200000,1.385987
13,1642933447.430922,-34.645085,5.068456,0.554491,4.154862,-0.114590,1.540000,-59.000000,35.000000,7.000000,0.200000,1.385987
14,1642933447.470941,-34.504231,5.154738,0.555887,4.138801,-0.069418,1.980000,-59.000000,35.000000,7.000000,0.200000,1.551168
15,1642933447.470941,-34.504231,5.154738,0.555887,4.138801,-0.069418,1.980000,-59.000000,32.000000,5.000000,0.200000,1.551168
