frame,time,x,y,heading,v_x,v_y,yaw_rate
65,1642495873.236975,-29.528580,12.756534,0.678933,2.256118,-0.002880,-0.860000
66,1642495873.276992,-29.456923,12.812411,0.678409,2.270399,-0.023374,-1.040000
67,1642495873.317001,-29.388807,12.870600,0.677537,2.273852,-0.039245,-1.230000
68,1642495873.356994,-29.317150,12.926477,0.676839,2.277835,-0.017086,-0.900000
69,1642495873.396971,-29.244594,12.982331,0.676315,2.274820,0.006236,-0.670000
70,1642495873.436977,-29.172066,13.037075,0.675791,2.267801,-0.000585,-0.910000
71,1642495873.476990,-29.099538,13.091819,0.675093,2.281389,-0.007942,-1.110000
72,1642495873.517095,-29.030522,13.149985,0.674221,2.282159,-0.015711,-1.240000
73,1642495873.556980,-28.957995,13.204730,0.673348,2.272167,-0.005195,-1.290000
74,1642495873.596972,-28.886367,13.259497,0.672650,2.260311,0.001677,-1.230000
75,1642495873.636988,-28.813839,13.314241,0.671603,2.256237,-0.005207,-1.380000
76,1642495873.676976,-28.742239,13.367900,0.670555,2.258987,-0.020700,-1.500000
77,1642495873.716976,-28.674123,13.426089,0.669683,2.245345,-0.029630,-1.530000
78,1642495873.756971,-28.602524,13.479747,0.668636,2.240518,-0.024299,-1.270000
79,1642495873.797020,-28.531795,13.534538,0.667938,2.238477,-0.024913,-1.040000
80,1642495873.856982,-28.424396,13.615025,0.666890,2.223838,-0.018396,-0.940000
81,1642495873.896973,-28.357237,13.671018,0.666192,2.220289,-0.031632,-1.100000
82,1642495873.936981,-28.286537,13.724700,0.665494,2.216562,-0.028462,-0.950000
83,1642495873.977017,-28.215865,13.777272,0.664970,2.209482,-0.017372,-0.730000
84,1642495874.016992,-28.145194,13.829843,0.664621,2.206733,-0.011399,-0.550000
85,1642495874.056966,-28.074494,13.883525,0.664272,2.208029,-0.007341,-0.510000
86,1642495874.096976,-28.006464,13.938386,0.663923,2.225247,-0.018763,-0.540000
87,1642495874.136972,-27.935764,13.992067,0.663574,2.236127,-0.023722,-0.560000
88,1642495874.176978,-27.864165,14.045725,0.663225,2.226465,-0.021892,-0.500000
89,1642495874.216986,-27.793465,14.099406,0.662876,2.219978,-0.028996,-0.370000
90,1642495874.256977,-27.722794,14.151978,0.662702,2.224261,-0.023500,-0.280000
91,1642495874.296974,-27.654735,14.207948,0.662527,2.244315,-0.005704,-0.100000
92,1642495874.356987,-27.547307,14.289545,0.662003,2.236190,-0.043635,-0.980000
93,1642495874.396973,-27.477507,14.343250,0.660956,2.209041,-0.063253,-1.470000
94,1642495874.436983,-27.407678,14.398064,0.660084,2.204443,-0.044653,-1.280000
95,1642495874.477054,-27.337006,14.450636,0.659211,2.201640,-0.023417,-1.100000
96,1642495874.537005,-27.235004,14.531263,0.657989,2.197004,-0.011972,-1.140000
97,1642495874.577041,-27.164333,14.583834,0.657291,2.197064,-0.018505,-1.150000
98,1642495874.616977,-27.093662,14.636406,0.656418,2.196683,-0.023228,-1.090000
99,1642495874.656981,-27.023020,14.687869,0.655895,2.192705,-0.011026,-0.710000
100,1642495874.697115,-26.956817,14.741666,0.655546,2.189410,-0.004230,-0.500000
101,1642495874.736971,-26.886175,14.793129,0.655197,2.201110,-0.013658,-0.560000
102,1642495874.776979,-26.814633,14.844568,0.654673,2.211879,-0.030492,-0.840000
103,1642495874.816973,-26.743962,14.897140,0.654149,2.208318,-0.036888,-1.020000
104,1642495874.876976,-26.638390,14.976564,0.652928,2.204720,-0.044819,-0.940000
105,1642495874.916980,-26.570389,15.030315,0.652404,2.209286,-0.022332,-0.840000
106,1642495874.956971,-26.498818,15.082864,0.651706,2.221803,-0.015571,-0.900000
107,1642495874.996974,-26.428147,15.135436,0.650833,2.215417,-0.048758,-1.480000
