frame,time,x,y,heading,v_x,v_y,yaw_rate
66,1642501845.011128,-32.686377,10.248109,0.772657,0.000054,0.004242,0.010000
67,1642501845.051116,-32.687277,10.248133,0.772832,-0.003455,0.006408,0.030000
68,1642501845.111119,-32.686377,10.248109,0.772657,0.000072,0.005656,0.020000
69,1642501845.151464,-32.686377,10.248109,0.772832,-0.002023,0.007804,0.040000
70,1642501845.211128,-32.686377,10.248109,0.772832,-0.000645,0.004958,0.030000
71,1642501845.251129,-32.686377,10.248109,0.772832,-0.001343,0.005674,0.000000
72,1642501845.311123,-32.686377,10.248109,0.772832,-0.000627,0.006372,0.050000
73,1642501845.351137,-32.686377,10.248109,0.772832,-0.001343,0.005674,0.010000
74,1642501845.411125,-32.686377,10.248109,0.772657,0.000054,0.004242,0.010000
75,1642501845.451122,-32.687277,10.248133,0.772832,-0.003473,0.004994,0.020000
76,1642501845.511122,-32.686377,10.248109,0.772832,-0.001361,0.004260,0.010000
77,1642501845.551141,-32.686377,10.248109,0.772832,-0.003473,0.004994,0.010000
78,1642501845.611127,-32.686377,10.248109,0.772832,-0.002059,0.004976,0.020000
79,1642501845.651126,-32.686377,10.248109,0.772832,-0.002739,0.007106,0.030000
80,1642501845.711121,-32.687277,10.248133,0.772657,-0.001342,0.005674,0.030000
81,1642501845.751120,-32.687277,10.248133,0.772832,-0.003491,0.003580,-0.010000
82,1642501845.771128,-32.687277,10.248133,0.772832,-0.001396,0.001432,-0.020000
83,1642501845.791121,-32.687305,10.247023,0.772832,-0.000663,0.003544,0.010000
84,1642501845.831116,-32.687305,10.247023,0.772657,0.000734,0.002112,-0.020000
85,1642501845.871111,-32.687277,10.248133,0.772657,-0.000716,-0.000698,-0.040000
86,1642501845.951123,-32.687305,10.247023,0.772832,-0.003455,0.006408,0.040000
87,1642501846.011114,-32.687305,10.247023,0.772657,-0.002058,0.004976,0.020000
88,1642501846.091681,-32.687277,10.248133,0.772657,-0.000680,0.002130,0.010000
89,1642501846.131142,-32.687277,10.248133,0.772832,0.000053,0.004242,0.020000
90,1642501846.171115,-32.687277,10.248133,0.772832,-0.001396,0.001432,-0.020000
91,1642501846.191126,-32.687277,10.248133,0.772832,-0.000716,-0.000698,-0.040000
92,1642501846.251122,-32.687305,10.247023,0.772832,-0.003438,0.007822,0.050000
93,1642501846.291145,-32.687277,10.248133,0.772832,-0.001432,-0.001396,-0.050000
94,1642501846.391147,-32.686406,10.247000,0.772832,-0.001396,0.001432,-0.020000
95,1642501846.431119,-32.686406,10.247000,0.772832,0.000751,0.003526,0.000000
96,1642501846.471126,-32.686377,10.248109,0.772832,-0.001361,0.004260,0.000000
97,1642501846.491181,-32.686377,10.248109,0.772832,-0.001379,0.002846,-0.000000
98,1642501846.591144,-32.686377,10.248109,0.772832,0.000018,0.001414,-0.020000
99,1642501846.631128,-32.686406,10.247000,0.772832,0.000769,0.004940,0.000000
100,1642501846.651231,-32.686406,10.247000,0.772832,-0.002041,0.006390,0.020000
101,1642501846.691113,-32.686377,10.248109,0.772832,-0.002094,0.002148,-0.000000
102,1642501846.771177,-32.686406,10.247000,0.772832,-0.001396,0.001432,-0.030000
103,1642501846.851515,-32.686406,10.247000,0.772832,-0.002059,0.004976,0.000000
104,1642501846.871120,-32.686377,10.248109,0.772832,-0.000698,0.000716,-0.060000
105,1642501846.911234,-32.686377,10.248109,0.772832,-0.002041,0.006390,0.040000
106,1642501846.951118,-32.686406,10.247000,0.772832,-0.001325,0.007088,0.030000
107,1642501846.971123,-32.686406,10.247000,0.772832,-0.001396,0.001432,-0.040000
108,1642501847.051240,-32.686406,10.247000,0.772832,-0.002023,0.007804,0.030000
109,1642501847.151127,-32.686406,10.247000,0.772832,-0.002757,0.005692,0.000000
110,1642501847.171127,-32.686406,10.247000,0.772832,-0.002094,0.002148,-0.040000
111,1642501847.191138,-32.686406,10.247000,0.772832,0.000018,0.001414,-0.030000
112,1642501847.231126,-32.686406,10.247000,0.772832,0.000751,0.003526,-0.020000
113,1642501847.271121,-32.686377,10.248109,0.772832,0.000018,0.001414,-0.060000
114,1642501847.311121,-32.686406,10.247000,0.772832,-0.001361,0.004260,-0.000000
115,1642501847.451120,-32.686406,10.247000,0.772832,-0.002757,0.005692,0.050000
116,1642501847.491132,-32.686377,10.248109,0.772832,-0.002112,0.000734,0.020000
117,1642501847.531131,-32.686406,10.247000,0.772832,-0.000663,0.003544,0.040000
118,1642501847.551231,-32.686406,10.247000,0.773006,-0.003456,0.006407,0.070000
119,1642501847.571128,-32.686406,10.247000,0.773006,-0.002811,0.001449,-0.020000
120,1642501847.651112,-32.686406,10.247000,0.773006,-0.004888,0.005011,0.020000
121,1642501847.711113,-32.686377,10.248109,0.772832,-0.003473,0.004994,0.030000
