frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
0,1642586747.401185,-33.417081,10.047205,0.633031,0.005644,0.004141,-0.000000,22.000000,0,5,0.000000
1,1642586747.441189,-33.417081,10.047205,0.633031,-0.011827,-0.002476,-0.030000,22.000000,0,5,0.000000
2,1642586747.501225,-33.417081,10.047205,0.633031,0.008439,0.003712,-0.010000,22.000000,0,2,0.000000
3,1642586747.541194,-33.417081,10.047205,0.633031,-0.010214,-0.001293,-0.010000,22.000000,0,2,0.000000
4,1642586747.601267,-33.417081,10.047205,0.633031,0.004623,0.002152,0.010000,22.000000,0,2,0.000000
5,1642586747.641212,-33.417081,10.047205,0.633031,-0.008439,-0.003712,-0.020000,22.000000,0,2,0.000000
6,1642586747.701220,-33.417081,10.047205,0.633031,0.007633,0.003120,0.010000,22.000000,0,2,0.000000
7,1642586747.741398,-33.417081,10.047205,0.633031,-0.006235,-0.003335,-0.030000,22.000000,0,2,0.000000
8,1642586747.801285,-33.417081,10.047205,0.633031,0.009193,-0.000696,-0.040000,22.000000,0,2,0.000000
9,1642586747.842435,-33.417981,10.047229,0.633031,-0.011235,-0.003283,-0.010000,22.000000,0,2,0.000000
10,1642586747.901217,-33.417981,10.047229,0.633031,0.006665,0.006131,0.050000,22.000000,0,2,0.000000
11,1642586747.941236,-33.417981,10.047229,0.633031,-0.009408,-0.000702,0.000000,22.000000,0,2,0.000000
12,1642586748.001898,-33.417081,10.047205,0.633031,0.002042,0.003979,0.020000,22.000000,0,2,0.000000
13,1642586748.041402,-33.417081,10.047205,0.633031,-0.008062,-0.005916,-0.120000,22.000000,0,0,0.000000
14,1642586748.101206,-33.418010,10.046119,0.633031,0.004837,0.003550,-0.000000,22.000000,0,0,0.000000
15,1642586748.141282,-33.418010,10.046119,0.633031,-0.011612,-0.001078,-0.020000,22.000000,0,0,0.000000
16,1642586748.201278,-33.418010,10.046119,0.633031,0.003440,0.003764,0.010000,22.000000,0,0,0.000000
17,1642586748.241197,-33.418010,10.046119,0.633031,-0.013816,-0.001455,0.000000,22.000000,0,0,0.000000
18,1642586748.301442,-33.418010,10.046119,0.633031,0.003817,0.001560,-0.010000,22.000000,0,0,0.000000
19,1642586748.341353,-33.418010,10.046119,0.633031,-0.010214,-0.001293,0.020000,22.000000,0,0,0.000000
20,1642586748.401261,-33.418010,10.046119,0.633031,0.003225,0.002366,0.020000,22.000000,0,0,0.000000
21,1642586748.441256,-33.418010,10.046119,0.633031,-0.010429,-0.002691,-0.010000,22.000000,0,0,0.000000
22,1642586748.501194,-33.418038,10.045010,0.633031,0.004031,0.002958,0.000000,22.000000,0,0,0.000000
23,1642586748.541199,-33.418038,10.045010,0.633031,-0.012041,-0.003874,-0.040000,22.000000,0,0,0.000000
24,1642586748.601291,-33.418038,10.045010,0.633031,0.002419,0.001775,-0.040000,22.000000,0,0,0.000000
25,1642586748.641188,-33.418038,10.045010,0.633031,-0.014031,-0.002853,-0.030000,22.000000,0,0,0.000000
26,1642586748.701480,-33.417139,10.044986,0.633031,0.004031,0.002958,0.000000,22.000000,0,0,0.000000
27,1642586748.741193,-33.418038,10.045010,0.633031,-0.010643,-0.004089,-0.060000,22.000000,0,0,0.000000
28,1642586748.801244,-33.417139,10.044986,0.633031,0.000215,0.001398,-0.030000,22.000000,0,0,0.000000
29,1642586748.841249,-33.418038,10.045010,0.633031,-0.012041,-0.003874,-0.050000,22.000000,0,0,0.000000
