frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
56,1642587304.141237,-33.766518,10.005184,0.567930,0.000305,0.001381,0.040000,9.000000,5,0,0.000000
57,1642587304.181289,-33.766518,10.005184,0.567930,0.015030,0.002472,0.040000,9.000000,5,0,0.000000
58,1642587304.241195,-33.765619,10.005161,0.567930,0.004143,-0.000915,-0.020000,9.000000,5,0,0.000000
59,1642587304.281202,-33.767418,10.005208,0.567930,0.017791,0.001862,0.010000,9.000000,5,0,0.000000
60,1642587304.341221,-33.766518,10.005184,0.567930,-0.001381,0.000305,0.000000,9.000000,5,0,0.000000
61,1642587304.381305,-33.766518,10.005184,0.567930,0.017486,0.000481,-0.030000,9.000000,5,0,0.000000
62,1642587304.441533,-33.766518,10.005184,0.567930,0.004215,0.002689,0.020000,9.000000,5,0,0.000000
63,1642587304.481381,-33.767446,10.004098,0.567930,0.008896,0.000931,-0.020000,9.000000,5,0,0.000000
64,1642587304.541278,-33.767446,10.004098,0.567930,0.002224,0.000233,-0.020000,9.000000,5,0,0.000000
65,1642587304.581210,-33.767418,10.005208,0.567930,0.016105,0.000786,-0.030000,9.000000,5,0,0.000000
66,1642587304.641203,-33.766547,10.004075,0.567930,0.001148,0.001919,0.020000,9.000000,5,0,0.000000
67,1642587304.681229,-33.767446,10.004098,0.567930,0.016410,0.002167,-0.010000,9.000000,8,0,0.000000
68,1642587304.741226,-33.767446,10.004098,0.567930,0.004448,0.000466,0.000000,9.000000,8,0,0.000000
69,1642587304.781209,-33.767446,10.004098,0.567930,0.015030,0.002472,0.020000,9.000000,10,0,0.000000
70,1642587304.841254,-33.767446,10.004098,0.567930,0.003910,0.001309,-0.010000,9.000000,13,0,0.000000
71,1642587304.881622,-33.768375,10.003012,0.567930,0.010044,0.002850,0.040000,9.000000,13,0,0.000000
72,1642587304.941514,-33.768375,10.003012,0.567930,0.003067,0.000771,0.010000,9.000000,13,0,0.000000
73,1642587304.981320,-33.768375,10.003012,0.567930,0.019172,0.001557,-0.020000,9.000000,13,0,0.000000
74,1642587305.041254,-33.768375,10.003012,0.567930,0.007515,0.001236,-0.010000,9.000000,16,0,0.000000
75,1642587305.081205,-33.769274,10.003035,0.567930,0.017559,0.004086,0.030000,9.000000,16,0,0.000000
76,1642587305.141202,-33.769274,10.003035,0.567930,0.016716,0.003548,0.030000,9.000000,16,0,0.000000
77,1642587305.181292,-33.768375,10.003012,0.567930,0.004753,0.001846,0.020000,9.000000,16,0,0.000000
78,1642587305.241317,-33.768375,10.003012,0.567930,0.024463,0.002560,0.020000,9.000000,16,0,0.000000
79,1642587305.281458,-33.769274,10.003035,0.567930,0.006977,0.002079,0.060000,9.000000,16,0,0.000000
80,1642587305.341447,-33.769274,10.003035,0.567930,0.020015,0.002095,0.030000,9.000000,16,0,0.000000
81,1642587305.381192,-33.769274,10.003035,0.567930,0.005829,0.000160,0.010000,9.000000,16,0,0.000000
82,1642587305.441193,-33.769274,10.003035,0.567930,0.023925,0.003403,0.020000,9.000000,16,0,0.000000
83,1642587305.481406,-33.770174,10.003059,0.567930,0.000610,0.002762,0.030000,9.000000,16,0,0.000000
84,1642587305.521189,-33.770174,10.003059,0.568105,-0.013038,-0.000018,0.010000,9.000000,16,0,0.000000
85,1642587305.561427,-33.770174,10.003059,0.567930,-0.017864,-0.005467,-0.060000,9.000000,16,0,0.000000
86,1642587305.601191,-33.770174,10.003059,0.567930,0.006134,0.001541,0.020000,9.000000,16,0,0.000000
87,1642587305.661187,-33.770174,10.003059,0.567930,-0.015567,-0.001629,0.040000,9.000000,16,0,0.000000
88,1642587305.741188,-33.770174,10.003059,0.568105,0.016643,-0.000054,-0.010000,9.000000,16,0,0.000000
89,1642587305.781235,-33.770174,10.003059,0.568105,0.001453,0.003300,0.030000,9.000000,16,0,0.000000
90,1642587305.821297,-33.770174,10.003059,0.568105,-0.007210,0.000143,-0.010000,9.000000,16,0,0.000000
91,1642587305.861189,-33.771102,10.001972,0.567930,-0.013416,-0.005001,-0.050000,9.000000,16,0,0.000000
