frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
0,1642934759.186991,-39.639283,-1.163920,0.589747,4.373197,-0.121340,0.650000,-42.000000,51.000000,0.000000,1.200000,0.000000
1,1642934759.227037,-39.493644,-1.066659,0.590096,4.399286,-0.108388,0.770000,-42.000000,51.000000,0.000000,1.200000,0.175130
2,1642934759.227037,-39.493644,-1.066659,0.590096,4.399286,-0.108388,0.770000,-42.000000,51.000000,0.000000,1.200000,0.175130
3,1642934759.267127,-39.347105,-0.969422,0.590619,4.396851,-0.107755,0.770000,-42.000000,51.000000,0.000000,1.100000,0.350995
4,1642934759.267127,-39.347105,-0.969422,0.590619,4.396851,-0.107755,0.770000,-42.000000,51.000000,0.000000,1.100000,0.350995
5,1642934759.307014,-39.200538,-0.871075,0.590968,4.419994,-0.135274,0.640000,-42.000000,51.000000,0.000000,1.000000,0.527500
6,1642934759.347007,-39.053071,-0.772752,0.591318,4.443608,-0.131157,0.940000,-42.000000,51.000000,0.000000,1.000000,0.704740
7,1642934759.347007,-39.053071,-0.772752,0.591318,4.443608,-0.131157,0.940000,-43.000000,51.000000,0.000000,0.900000,0.704740
8,1642934759.387042,-38.909929,-0.667655,0.592016,4.449964,-0.099739,1.060000,-43.000000,51.000000,0.000000,0.900000,0.882321
9,1642934759.387042,-38.909929,-0.667655,0.592016,4.449964,-0.099739,1.060000,-43.000000,51.000000,0.000000,0.800000,0.882321
10,1642934759.447010,-38.687351,-0.519095,0.592539,4.458572,-0.149513,0.210000,-43.000000,51.000000,0.000000,0.800000,1.149924
11,1642934759.447010,-38.687351,-0.519095,0.592539,4.458572,-0.149513,0.210000,-43.000000,51.000000,0.000000,0.700000,1.149924
12,1642934759.506996,-38.464715,-0.368316,0.592539,4.501888,-0.160133,-0.130000,-43.000000,51.000000,0.000000,0.700000,1.418812
13,1642934759.527083,-38.389603,-0.318080,0.592365,4.509629,-0.161717,-0.240000,-43.000000,51.000000,0.000000,0.600000,1.509175
14,1642934759.527083,-38.389603,-0.318080,0.592365,4.509629,-0.161717,-0.240000,-43.000000,51.000000,0.000000,0.600000,1.509175
15,1642934759.567006,-38.244576,-0.209701,0.592365,4.532968,-0.171322,-0.160000,-43.000000,51.000000,0.000000,0.500000,1.690224
16,1642934759.607011,-38.094325,-0.108119,0.592365,4.543978,-0.151860,0.240000,-43.000000,51.000000,0.000000,0.500000,1.871592
17,1642934759.607011,-38.094325,-0.108119,0.592365,4.543978,-0.151860,0.240000,-43.000000,51.000000,0.000000,0.500000,1.871592
18,1642934759.647005,-37.943202,-0.007670,0.592714,4.547059,-0.086745,0.930000,-43.000000,51.000000,0.000000,0.400000,2.053053
19,1642934759.647005,-37.943202,-0.007670,0.592714,4.547059,-0.086745,0.930000,-43.000000,51.000000,0.000000,0.400000,2.053053
20,1642934759.687202,-37.791180,0.092756,0.593586,4.548151,-0.066408,1.300000,-43.000000,51.000000,0.000000,0.400000,2.235251
21,1642934759.687202,-37.791180,0.092756,0.593586,4.548151,-0.066408,1.300000,-43.000000,51.000000,0.000000,0.300000,2.235251
22,1642934759.727083,-37.639158,0.193182,0.594110,4.547912,-0.110069,0.560000,-43.000000,51.000000,0.000000,0.300000,2.417449
23,1642934759.767143,-37.494131,0.301561,0.594285,4.543724,-0.145913,-0.080000,-43.000000,51.000000,0.000000,0.300000,2.598498
24,1642934759.767143,-37.494131,0.301561,0.594285,4.543724,-0.145913,-0.080000,-43.000000,51.000000,0.000000,0.300000,2.598498
25,1642934759.827026,-37.266969,0.453333,0.593936,4.556911,-0.134939,-0.370000,-42.000000,51.000000,0.000000,0.200000,2.871697
26,1642934759.846999,-37.190958,0.503546,0.593761,4.565549,-0.146779,-0.310000,-42.000000,51.000000,0.000000,0.200000,2.962795
27,1642934759.867057,-37.115818,0.554891,0.593761,4.569217,-0.157574,-0.190000,-40.000000,51.000000,0.000000,0.200000,3.053803
28,1642934759.907023,-36.963767,0.656427,0.593936,4.588574,-0.142517,0.480000,-40.000000,51.000000,0.000000,0.200000,3.236639
29,1642934759.907023,-36.963767,0.656427,0.593936,4.588574,-0.142517,0.480000,-37.000000,51.000000,0.000000,0.200000,3.236639
30,1642934759.947021,-36.810817,0.757939,0.594634,4.585752,-0.117145,1.090000,-37.000000,51.000000,0.000000,0.100000,3.420211
31,1642934759.947021,-36.810817,0.757939,0.594634,4.585752,-0.117145,1.090000,-35.000000,51.000000,0.000000,0.100000,3.420211
32,1642934759.987036,-36.664833,0.868514,0.595506,4.566920,-0.140466,1.350000,-33.000000,51.000000,0.000000,0.100000,3.603345
33,1642934759.987036,-36.664833,0.868514,0.595506,4.566920,-0.140466,1.350000,-33.000000,51.000000,0.000000,0.100000,3.603345
34,1642934760.026994,-36.514523,0.972315,0.596204,4.566397,-0.196915,0.740000,-33.000000,51.000000,0.000000,0.100000,3.786012
35,1642934760.067010,-36.365085,1.077249,0.596379,4.562596,-0.234980,0.070000,-31.000000,51.000000,0.000000,0.100000,3.968613
36,1642934760.067010,-36.365085,1.077249,0.596379,4.562596,-0.234980,0.070000,-31.000000,51.000000,0.000000,0.100000,3.968613
37,1642934760.127038,-36.139607,1.233505,0.596728,4.586005,-0.141378,1.140000,-31.000000,51.000000,0.000000,0.100000,4.242942
38,1642934760.127038,-36.139607,1.233505,0.596728,4.586005,-0.141378,1.140000,-31.000000,51.000000,0.000000,0.100000,4.242942
39,1642934760.187007,-35.915871,1.392027,0.599521,4.579191,-0.009940,3.190000,-31.000000,51.000000,0.000000,0.100000,4.517145
40,1642934760.207000,-35.838960,1.442217,0.600742,4.572157,0.004164,3.420000,-31.000000,51.000000,0.000000,0.100000,4.608983
41,1642934760.207000,-35.838960,1.442217,0.600742,4.572157,0.004164,3.420000,-31.000000,51.000000,0.000000,0.100000,4.608983
42,1642934760.247000,-35.686039,1.542619,0.602837,4.571807,-0.038690,2.580000,-31.000000,51.000000,0.000000,0.100000,4.791919
43,1642934760.247000,-35.686039,1.542619,0.602837,4.571807,-0.038690,2.580000,-31.000000,51.000000,0.000000,0.100000,4.791919
44,1642934760.287005,-35.534859,1.645288,0.604058,4.589469,-0.093847,1.260000,-31.000000,51.000000,0.000000,0.100000,4.974665
45,1642934760.307000,-35.458790,1.697720,0.604408,4.594598,-0.115462,0.660000,-31.000000,51.000000,0.000000,0.100000,5.067053
46,1642934760.307000,-35.458790,1.697720,0.604408,4.594598,-0.115462,0.660000,-31.000000,51.000000,0.000000,0.100000,5.067053
47,1642934760.367065,-35.242106,1.861976,0.604582,4.575171,-0.146327,0.040000,-31.000000,51.000000,0.000000,0.100000,5.338958
48,1642934760.367065,-35.242106,1.861976,0.604582,4.575171,-0.146327,0.040000,-31.000000,51.000000,0.000000,0.000000,5.338958
49,1642934760.407019,-35.091797,1.965777,0.604931,4.563045,-0.097225,0.750000,-31.000000,51.000000,0.000000,0.000000,5.521625
50,1642934760.407019,-35.091797,1.965777,0.604931,4.563045,-0.097225,0.750000,-31.000000,51.000000,0.000000,0.000000,5.521625
51,1642934760.467148,-34.863735,2.117525,0.606502,4.565144,-0.015679,1.990000,-31.000000,51.000000,0.000000,0.000000,5.795559
52,1642934760.507021,-34.711685,2.219061,0.607724,4.567229,-0.030589,1.560000,-31.000000,51.000000,0.000000,0.000000,5.978395
53,1642934760.507021,-34.711685,2.219061,0.607724,4.567229,-0.030589,1.560000,-31.000000,51.000000,0.000000,0.000000,5.978395
54,1642934760.547009,-34.569356,2.327510,0.608596,4.563768,-0.086318,0.540000,-31.000000,51.000000,0.000000,0.000000,6.157332
55,1642934760.567011,-34.494216,2.378855,0.608596,4.563987,-0.137356,-0.300000,-31.000000,51.000000,0.000000,0.000000,6.248340
56,1642934760.567011,-34.494216,2.378855,0.608596,4.563987,-0.137356,-0.300000,-31.000000,51.000000,0.000000,0.000000,6.248340
57,1642934760.626998,-34.268738,2.535112,0.607724,4.592131,-0.167967,-1.110000,-31.000000,51.000000,0.000000,0.000000,6.522669
58,1642934760.626998,-34.268738,2.535112,0.607724,4.592131,-0.167967,-1.110000,-32.000000,51.000000,0.000000,0.000000,6.522669
59,1642934760.667026,-34.116630,2.638866,0.607200,4.619688,-0.136553,-0.480000,-32.000000,51.000000,0.000000,0.000000,6.706794
60,1642934760.667026,-34.116630,2.638866,0.607200,4.619688,-0.136553,-0.480000,-32.000000,51.000000,0.000000,0.000000,6.706794
61,1642934760.707000,-33.963651,2.741488,0.607200,4.599622,-0.088393,0.280000,-32.000000,51.000000,0.000000,0.000000,6.891005
62,1642934760.707000,-33.963651,2.741488,0.607200,4.599622,-0.088393,0.280000,-32.000000,51.000000,0.000000,0.000000,6.891005
63,1642934760.747046,-33.820366,2.852133,0.607549,4.560211,-0.098377,0.400000,-32.000000,51.000000,0.000000,0.000000,7.072038
64,1642934760.807124,-33.593146,3.006124,0.607724,4.608767,-0.111326,-0.010000,-32.000000,51.000000,0.000000,0.000000,7.346522
65,1642934760.807124,-33.593146,3.006124,0.607724,4.608767,-0.111326,-0.010000,-32.000000,51.000000,0.000000,0.000000,7.346522
66,1642934760.847018,-33.441038,3.109878,0.607549,4.596252,-0.125690,-0.280000,-32.000000,51.000000,0.000000,0.000000,7.530647
67,1642934760.887024,-33.289829,3.213656,0.607200,4.571052,-0.175213,-0.870000,-32.000000,51.000000,0.000000,0.000000,7.714043
68,1642934760.887024,-33.289829,3.213656,0.607200,4.571052,-0.175213,-0.870000,-32.000000,51.000000,0.000000,0.000000,7.714043
69,1642934760.927021,-33.140362,3.319699,0.606502,4.600102,-0.195895,-0.800000,-32.000000,51.000000,0.000000,0.000000,7.897306
70,1642934760.927021,-33.140362,3.319699,0.606502,4.600102,-0.195895,-0.800000,-32.000000,51.000000,0.000000,0.000000,7.897306
71,1642934760.947382,-33.064294,3.372131,0.606327,4.614103,-0.190616,-0.640000,-32.000000,51.000000,0.000000,0.000000,7.989694
72,1642934760.947382,-33.064294,3.372131,0.606327,4.614103,-0.190616,-0.640000,-32.000000,51.000000,0.000000,0.000000,7.989694
73,1642934761.007074,-32.846653,3.538583,0.606327,4.582192,-0.144598,0.330000,-32.000000,51.000000,0.000000,0.000000,8.263690
74,1642934761.047019,-32.697215,3.643517,0.606676,4.554242,-0.158778,0.470000,-32.000000,51.000000,0.000000,0.000000,8.446290
75,1642934761.047019,-32.697215,3.643517,0.606676,4.554242,-0.158778,0.470000,-32.000000,51.000000,0.000000,0.000000,8.446290
76,1642934761.086997,-32.547777,3.748451,0.607026,4.583479,-0.174664,0.580000,-32.000000,51.000000,0.000000,0.000000,8.628891
77,1642934761.086997,-32.547777,3.748451,0.607026,4.583479,-0.174664,0.580000,-32.000000,51.000000,0.000000,0.000000,8.628891
78,1642934761.147000,-32.329294,3.912660,0.608073,4.599351,-0.122390,1.200000,-32.000000,51.000000,0.000000,0.000000,8.902203
79,1642934761.147000,-32.329294,3.912660,0.608073,4.599351,-0.122390,1.200000,-32.000000,51.000000,0.000000,0.000000,8.902203
80,1642934761.207002,-32.102887,4.070003,0.609120,4.587879,-0.146392,0.620000,-32.000000,51.000000,0.000000,0.000000,9.177914
81,1642934761.226999,-32.027690,4.123568,0.609294,4.593055,-0.152972,0.530000,-32.000000,51.000000,0.000000,0.000000,9.270239
82,1642934761.226999,-32.027690,4.123568,0.609294,4.593055,-0.152972,0.530000,-32.000000,51.000000,0.000000,0.000000,9.270239
83,1642934761.267017,-31.876453,4.228455,0.609818,4.606857,-0.105604,0.960000,-32.000000,51.000000,0.000000,0.000000,9.454288
84,1642934761.307052,-31.724316,4.333319,0.610691,4.604572,-0.070289,1.260000,-32.000000,51.000000,0.000000,0.000000,9.639064
85,1642934761.307052,-31.724316,4.333319,0.610691,4.604572,-0.070289,1.260000,-32.000000,51.000000,0.000000,0.000000,9.639064
86,1642934761.347031,-31.582801,4.445120,0.611389,4.590724,-0.113452,0.890000,-32.000000,51.000000,0.000000,0.000000,9.819413
87,1642934761.347031,-31.582801,4.445120,0.611389,4.590724,-0.113452,0.890000,-32.000000,51.000000,0.000000,0.000000,9.819413
88,1642934761.387009,-31.432463,4.550031,0.611912,4.596312,-0.145040,0.450000,-32.000000,51.000000,0.000000,0.000000,10.002737
89,1642934761.387009,-31.432463,4.550031,0.611912,4.596312,-0.145040,0.450000,-32.000000,51.000000,0.000000,0.000000,10.002737
90,1642934761.427010,-31.281197,4.656028,0.612087,4.599194,-0.136123,0.260000,-32.000000,51.000000,0.000000,0.000000,10.187444
91,1642934761.487000,-31.054820,4.812261,0.612436,4.579649,-0.127506,0.360000,-32.000000,51.000000,0.000000,0.000000,10.462500
92,1642934761.487000,-31.054820,4.812261,0.612436,4.579649,-0.127506,0.360000,-32.000000,51.000000,0.000000,0.000000,10.462500
93,1642934761.527014,-30.904511,4.916062,0.612785,4.564100,-0.112422,0.580000,-32.000000,51.000000,0.000000,0.000000,10.645167
94,1642934761.547022,-30.829342,4.968517,0.612960,4.555248,-0.100749,0.690000,-32.000000,51.000000,0.000000,0.000000,10.736829
95,1642934761.567032,-30.762996,5.027863,0.613309,4.550952,-0.103430,0.670000,-32.000000,51.000000,0.000000,0.000000,10.825845
96,1642934761.607011,-30.612687,5.131664,0.613658,4.565960,-0.123098,0.430000,-32.000000,51.000000,0.000000,0.000000,11.008512
97,1642934761.607011,-30.612687,5.131664,0.613658,4.565960,-0.123098,0.430000,-32.000000,51.000000,0.000000,0.000000,11.008512
