frame,time,x,y,heading,v_x,v_y,yaw_rate
65,1642496174.176984,-30.422554,12.298950,0.702320,2.090974,-0.009498,-0.730000
66,1642496174.216981,-30.357280,12.351661,0.701797,2.090497,-0.016229,-0.940000
67,1642496174.257174,-30.292905,12.404396,0.700924,2.087305,-0.022043,-1.120000
68,1642496174.296981,-30.231143,12.460530,0.700226,2.085717,-0.016978,-1.000000
69,1642496174.336971,-30.165898,12.512132,0.699528,2.093562,-0.001368,-0.820000
70,1642496174.376971,-30.100624,12.564843,0.699004,2.089023,0.010705,-0.730000
71,1642496174.416973,-30.035378,12.616445,0.698481,2.077021,0.002140,-0.970000
72,1642496174.456995,-29.970133,12.668048,0.697608,2.073731,-0.012870,-1.200000
73,1642496174.497115,-29.908399,12.723071,0.696910,2.075113,-0.006633,-1.020000
74,1642496174.536989,-29.843154,12.774673,0.696212,2.071752,0.009967,-0.880000
75,1642496174.576981,-29.777909,12.826276,0.695688,2.073799,0.015798,-0.850000
76,1642496174.616976,-29.712692,12.876768,0.694816,2.076245,0.009507,-1.200000
77,1642496174.657023,-29.647447,12.928370,0.693943,2.073811,-0.003442,-1.620000
78,1642496174.696971,-29.585713,12.983394,0.692721,2.074052,-0.010970,-1.810000
79,1642496174.736970,-29.520468,13.034996,0.691325,2.081207,-0.013122,-1.850000
80,1642496174.776975,-29.455223,13.086598,0.690278,2.084346,0.002866,-1.530000
81,1642496174.816994,-29.389107,13.137068,0.689231,2.085706,0.014760,-1.380000
82,1642496174.857059,-29.322990,13.187537,0.688358,2.080312,0.008493,-1.500000
83,1642496174.896969,-29.261286,13.241451,0.687136,2.077744,-0.012979,-1.780000
84,1642496174.936975,-29.196040,13.293053,0.685914,2.081246,-0.022975,-1.980000
85,1642496174.976973,-29.130795,13.344656,0.684518,2.079537,-0.014340,-1.800000
86,1642496175.016973,-29.064679,13.395125,0.683471,2.077714,-0.006381,-1.620000
87,1642496175.056988,-28.998534,13.446704,0.682424,2.076978,0.005025,-1.560000
88,1642496175.096987,-28.932447,13.496064,0.681377,2.074903,0.010176,-1.480000
89,1642496175.137212,-28.869871,13.548845,0.680329,2.073061,0.003933,-1.570000
90,1642496175.176976,-28.803755,13.599314,0.679108,2.074020,-0.002969,-1.710000
91,1642496175.236976,-28.705466,13.675596,0.677188,2.077312,-0.015845,-1.740000
92,1642496175.276979,-28.639350,13.726066,0.676141,2.086963,-0.007699,-1.520000
93,1642496175.316976,-28.576803,13.777738,0.675093,2.085239,-0.018943,-1.680000
94,1642496175.356980,-28.511587,13.828230,0.673872,2.075837,-0.028979,-1.890000
95,1642496175.416973,-28.413298,13.904512,0.671952,2.075671,-0.015160,-1.590000
96,1642496175.456984,-28.346311,13.953849,0.670905,2.079943,0.001391,-1.270000
97,1642496175.496979,-28.283793,14.004411,0.670206,2.072164,0.006534,-1.160000
98,1642496175.536978,-28.217705,14.053771,0.669159,2.069710,-0.016706,-1.390000
99,1642496175.576990,-28.151589,14.104241,0.668287,2.079113,-0.035284,-1.430000
100,1642496175.617128,-28.086344,14.155843,0.667239,2.083955,-0.032344,-1.350000
101,1642496175.656980,-28.020228,14.206312,0.666367,2.072128,-0.025630,-1.070000
102,1642496175.696977,-27.956839,14.255742,0.665843,2.064647,-0.005877,-0.610000
