frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
0,1642585707.8812,-33.464638,10.157241,0.653626,0.00505,-0.004949,-0.04,0,0,0,0
1,1642585707.92119,-33.463739,10.157218,0.653626,0.004814,-0.001351,0,-333,10,0,0
2,1642585707.98136,-33.463739,10.157218,0.653626,0.003226,-0.002567,0.03,-333,10,0,0
3,1642585708.02121,-33.463739,10.157218,0.653626,0.005,5.1E-05,0.05,-333,10,0,0
4,1642585708.06121,-33.464638,10.157241,0.653626,-0.001774,-0.002618,0,-333,10,0,0
5,1642585708.1212,-33.464638,10.157241,0.653626,0.008834,-0.003311,-0.02,-333,10,0,0
6,1642585708.18119,-33.464638,10.157241,0.653626,0.003226,-0.002567,0.04,-333,13,0,0
7,1642585708.22121,-33.464638,10.157241,0.653626,0.006402,-0.000135,0.05,-333,13,0,0
8,1642585708.28119,-33.464638,10.157241,0.653626,0.009678,-0.007702,-0.08,-333,13,0,0
9,1642585708.32169,-33.464638,10.157241,0.653626,0.004392,0.000845,0.06,-333,13,0,0
10,1642585708.38119,-33.464638,10.157241,0.653626,0.002618,-0.001774,0.02,-333,13,0,0
11,1642585708.42122,-33.464638,10.157241,0.653626,0.005794,0.000659,0.04,-333,13,0,0
12,1642585708.4812,-33.464638,10.157241,0.653626,0.00304,-0.003969,0,-333,13,0,0
13,1642585708.52122,-33.464638,10.157241,0.653626,0.005236,-0.003547,-0.03,-333,13,0,0
14,1642585708.5812,-33.464638,10.157241,0.653451,0.000844,-0.004392,-0.01,-333,13,0,0
15,1642585708.6212,-33.464638,10.157241,0.653451,0.003412,-0.001166,0.02,-333,13,0,0
16,1642585708.6812,-33.464638,10.157241,0.653451,0.002854,-0.005372,-0.02,-333,13,0,0
17,1642585708.7212,-33.464638,10.157241,0.653451,0.000186,0.001402,0.05,-333,13,0,0
18,1642585708.78128,-33.464638,10.157241,0.653451,-0.001402,0.000186,0.11,-333,13,0,0
19,1642585708.82136,-33.464638,10.157241,0.653451,0.00103,-0.00299,0,-333,13,0,0
20,1642585708.8812,-33.465538,10.157265,0.653451,-0.002382,-0.001824,0.05,-333,13,0,0
21,1642585708.92133,-33.465538,10.157265,0.653451,0.000236,-0.003598,-0.02,-333,13,0,0
22,1642585708.98129,-33.465538,10.157265,0.653626,-0.004814,0.001351,0.08,-333,13,0,0
23,1642585709.02131,-33.465538,10.157265,0.653626,0.001824,-0.002382,0,-333,13,0,0
24,1642585709.08119,-33.466437,10.157288,0.653451,-0.001774,-0.002618,-0.01,-333,13,0,0
25,1642585709.12122,-33.465538,10.157265,0.653626,0.004814,-0.001351,0,-333,13,0,0
26,1642585709.18122,-33.465538,10.157265,0.653451,-0.002382,-0.001824,0.01,-333,13,0,0
27,1642585709.22119,-33.465538,10.157265,0.653451,0.002804,-0.000372,0.01,-333,13,0,0
28,1642585709.28119,-33.466437,10.157288,0.653451,-0.003176,-0.002432,0.01,-333,13,0,0
29,1642585709.32127,-33.466437,10.157288,0.653451,0.00299,0.00103,0.05,-333,13,0,0
30,1642585709.3812,-33.466437,10.157288,0.653451,-0.000186,-0.001402,0.03,-333,13,0,0
31,1642585709.4212,-33.466437,10.157288,0.653451,0.003226,-0.002568,0,-333,13,0,0
32,1642585709.48136,-33.467366,10.156202,0.653451,-0.001588,-0.001216,0.06,-333,13,0,0
33,1642585709.52123,-33.467337,10.157311,0.653451,0.003226,-0.002568,-0.02,-333,13,0,0
34,1642585709.56121,-33.467337,10.157311,0.653451,-0.003362,-0.003834,-0.01,-333,13,0,0
35,1642585709.6212,-33.467337,10.157311,0.653451,0,0,0.03,-333,13,0,0
