frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
54,1642591592.521186,-33.439732,9.659205,0.631286,-0.001553,0.003819,-0.020000,23.000000,0,0,0.000000
55,1642591592.581193,-33.439761,9.658095,0.631286,-0.005651,-0.004131,-0.040000,23.000000,0,0,0.000000
56,1642591592.621199,-33.439732,9.659205,0.631286,-0.002361,0.003229,-0.020000,23.000000,0,0,0.000000
57,1642591592.681185,-33.439761,9.658095,0.631286,-0.005651,-0.004131,-0.040000,23.000000,0,0,0.000000
58,1642591592.721223,-33.439761,9.658095,0.631286,-0.003541,0.004844,0.010000,23.000000,0,0,0.000000
59,1642591592.781209,-33.439732,9.659205,0.631286,-0.005651,-0.004131,-0.030000,23.000000,0,0,0.000000
60,1642591592.821185,-33.439732,9.659205,0.631286,-0.001771,0.002422,-0.010000,23.000000,0,0,0.000000
61,1642591592.881213,-33.439761,9.658095,0.631286,-0.005651,-0.004131,-0.050000,23.000000,2,0,0.000000
62,1642591592.921185,-33.439761,9.658095,0.631286,-0.001553,0.003819,-0.010000,23.000000,2,0,0.000000
63,1642591592.981194,-33.439732,9.659205,0.631286,-0.004844,-0.003541,-0.060000,23.000000,5,0,0.000000
64,1642591593.021239,-33.439732,9.659205,0.631286,-0.001771,0.002422,-0.040000,23.000000,8,0,0.000000
65,1642591593.081190,-33.439732,9.659205,0.631286,-0.005434,-0.002734,-0.010000,23.000000,8,0,0.000000
66,1642591593.121231,-33.439761,9.658095,0.631286,-0.002144,0.004627,0.020000,23.000000,8,0,0.000000
67,1642591593.181383,-33.439732,9.659205,0.631286,-0.006085,-0.006926,-0.090000,23.000000,10,0,0.000000
68,1642591593.221257,-33.440632,9.659228,0.631286,-0.001180,0.001615,-0.050000,23.000000,10,0,0.000000
69,1642591593.281191,-33.440632,9.659228,0.631286,-0.005434,-0.002734,-0.010000,23.000000,10,0,0.000000
70,1642591593.321249,-33.440632,9.659228,0.631286,-0.001771,0.002422,-0.040000,23.000000,10,0,0.000000
71,1642591593.381193,-33.439732,9.659205,0.631286,-0.004253,-0.004348,-0.030000,23.000000,10,0,0.000000
72,1642591593.421265,-33.440632,9.659228,0.631286,-0.001553,0.003819,-0.000000,23.000000,10,0,0.000000
73,1642591593.481195,-33.440632,9.659228,0.631286,-0.005434,-0.002734,-0.010000,23.000000,10,0,0.000000
74,1642591593.521192,-33.440632,9.659228,0.631286,0.000651,0.004192,-0.020000,23.000000,10,0,0.000000
75,1642591593.581209,-33.440632,9.659228,0.631286,-0.002639,-0.003168,-0.050000,23.000000,10,0,0.000000
76,1642591593.621223,-33.440632,9.659228,0.631286,0.005651,0.004131,-0.070000,23.000000,13,0,0.000000
77,1642591593.681214,-33.440632,9.659228,0.631111,0.007671,-0.010496,-0.190000,23.000000,10,0,0.000000
78,1642591593.721217,-33.440632,9.659228,0.631111,-0.005372,0.002267,0.030000,23.000000,13,0,0.000000
79,1642591593.781378,-33.439732,9.659205,0.631286,-0.013045,0.012760,0.120000,23.000000,13,0,0.000000
80,1642591593.821189,-33.440632,9.659228,0.631286,-0.002456,0.011831,-0.070000,23.000000,13,0,0.000000
81,1642591593.881195,-33.440632,9.659228,0.630937,0.016116,-0.006803,-0.320000,23.000000,13,0,0.000000
82,1642591593.921194,-33.440603,9.660338,0.630762,0.001769,-0.002423,-0.080000,23.000000,13,0,0.000000
83,1642591593.961361,-33.440632,9.659228,0.630937,-0.020153,0.003854,0.280000,23.000000,13,0,0.000000
